frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
46,1.840,2.515662,6.180063,3.957165,8.209434,2.915179,3.957165,8.209434,1.962718,0.094154,15.828662,2.796338,1.523082
47,1.880,4.733545,11.273664,7.365415,15.696698,4.383482,7.365415,15.696698,3.872554,0.156010,29.461660,2.524446,3.729728
48,1.920,4.925456,12.542041,8.266261,13.594811,3.067411,8.266261,13.594811,6.268376,0.120000,33.065044,1.630277,4.312974
49,1.960,3.830095,10.603120,7.565310,6.266981,1.776786,6.266981,10.603120,5.501586,0.076765,25.067924,1.064911,3.018555
50,2.000,2.220460,6.540984,4.777631,3.724528,1.144643,3.724528,6.540984,3.632547,0.024171,14.898113,0.815519,1.372463
51,2.040,0.923672,3.055791,1.786092,2.781132,0.787500,1.786092,3.055791,1.677684,0.012660,7.144368,0.672698,0.117437
52,2.080,0.617367,2.437599,1.354310,2.922170,0.607589,1.354310,2.922170,1.141988,0.011609,5.417240,0.960615,-0.162117
53,2.120,0.581681,2.213908,1.133527,2.658491,0.681250,1.133527,2.658491,1.686409,0.014598,4.534109,0.801533,-0.305062
54,2.160,0.813640,2.933633,1.805923,8.947170,1.714286,1.805923,8.947170,0.582474,0.011281,7.223691,1.591904,0.130276
55,2.200,0.724227,3.237176,1.862242,10.458490,1.925893,1.925893,10.458490,2.514543,0.004795,7.703571,1.243708,0.207950
56,2.240,0.244449,1.035695,0.675304,5.829717,1.016518,1.016518,5.829717,1.363839,0.009540,4.066072,0.524197,-0.380818
57,2.280,0.102300,0.540984,0.410629,2.119340,0.650000,0.540984,2.119340,0.780539,0.013875,2.163934,0.504560,-0.688700
58,2.320,0.097740,0.668958,0.435219,1.692453,0.441518,0.441518,1.692453,0.799577,0.007192,1.766071,0.558842,-0.753098
59,2.360,0.105075,0.568482,0.502644,1.582547,0.468304,0.502644,1.582547,0.676891,0.009294,2.010576,0.680874,-0.713522
60,2.400,0.097145,0.494447,0.700423,1.916038,0.432143,0.494447,1.916038,0.776044,0.007094,1.977790,0.680619,-0.718829
61,2.440,0.228390,0.673982,0.374405,1.378774,0.255804,0.374405,1.378774,0.325472,0.006667,1.497620,0.679800,-0.796550
62,2.480,0.539453,1.347435,1.085140,1.012736,0.217857,1.012736,1.347435,0.856690,0.002677,4.050943,1.713363,-0.383267
63,2.520,1.520222,4.513749,3.978054,3.555660,0.875446,3.555660,4.513749,1.391038,0.004056,14.222642,3.163783,1.263131
64,2.560,2.818794,7.326547,5.695928,6.896226,1.475893,5.695928,7.326547,2.435377,0.008867,22.783712,2.977162,2.648831
65,2.600,3.356661,7.993390,5.850344,8.429245,2.163839,5.850344,8.429245,4.196192,0.014417,23.401375,1.764392,2.748806
66,2.640,2.333862,6.007403,5.263617,5.282547,1.533929,5.263617,6.007403,5.529614,0.008292,21.054468,1.082402,2.368935
67,2.680,1.360626,3.437070,3.065838,6.542924,1.960714,3.065838,6.542924,2.891327,0.007685,12.263352,0.728146,0.945999
68,2.720,1.972046,6.338445,4.145690,14.825000,3.740625,4.145690,14.825000,1.433369,0.007143,16.582760,1.917217,1.645141
69,2.760,3.655630,11.834479,7.567425,22.932076,5.411161,7.567425,22.932076,4.625066,0.012660,30.269699,2.498145,3.860518
70,2.800,4.351705,13.074564,9.528028,15.051887,4.183036,9.528028,15.051887,6.816763,0.010887,38.112110,1.665473,5.129896
71,2.840,4.333466,11.983871,9.742464,8.430189,2.609821,8.430189,11.983871,5.181132,0.012824,33.720757,1.405278,4.419108
72,2.880,2.636400,8.403490,7.194077,11.447170,4.233036,7.194077,11.447170,4.936792,0.011084,28.776308,1.422046,3.618797
73,2.920,1.021610,4.081703,3.318879,14.762736,3.841518,3.841518,14.762736,3.908250,0.009097,15.366072,0.868626,1.448207
74,2.960,0.295400,2.160762,1.501322,10.616982,2.323661,2.160762,10.616982,2.808036,0.026141,8.643046,0.643439,0.360014
75,3.000,0.232752,1.462454,0.578001,3.399057,0.682143,0.682143,3.399057,0.803279,0.019622,2.728571,0.377781,-0.597307
76,3.040,0.165741,0.707562,0.843998,1.860849,0.430804,0.707562,1.860849,0.399260,0.004614,2.830249,1.176781,-0.580850
77,3.080,0.111023,0.467213,0.622686,1.963208,0.515625,0.515625,1.963208,0.630090,0.006470,2.062500,1.001846,-0.705118
78,3.120,0.094568,0.431782,0.574299,1.428302,0.430804,0.431782,1.428302,0.839239,0.002545,1.727129,0.587727,-0.759401
79,3.160,0.207573,1.120836,1.295875,12.734434,2.862947,1.295875,12.734434,0.797768,0.006420,5.183501,1.583226,-0.199951
80,3.200,0.543021,1.112110,1.347171,12.306132,2.697321,1.347171,12.306132,1.250132,0.020197,5.388683,1.315661,-0.166740
