frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
46,1.840,0.383029,0.574299,0.925172,0.835377,1.037500,0.835377,1.037500,0.652036,0.076519,3.341509,1.197708,-0.856686
47,1.880,0.371729,0.322052,0.913802,0.546698,1.361161,0.546698,1.361161,0.708929,0.102463,2.186792,0.803398,-1.072117
48,1.920,0.983545,0.692755,1.487837,0.650000,1.423214,0.983545,1.487837,0.862242,0.040197,3.934179,1.251990,-0.746114
49,1.960,3.329104,3.072448,4.975145,1.390566,3.044643,3.072448,4.975145,1.656225,0.505337,6.080004,2.439935,0.812762
50,2.000,6.345757,6.417768,10.264939,2.848585,6.418750,6.417768,10.264939,4.489732,1.380476,4.648952,2.088452,3.309257
51,2.040,8.794607,8.330777,14.394765,4.236321,8.961607,8.794607,14.394765,7.015071,1.491593,5.896118,1.528858,5.083008
52,2.080,10.630651,9.205182,16.468006,6.255188,11.593750,10.630651,16.468006,8.981563,2.348818,4.525958,1.329111,6.453183
53,2.120,9.828509,8.251190,13.768376,6.003302,10.155804,9.828509,13.768376,10.127233,2.280575,4.309663,1.028690,5.854573
54,2.160,5.735329,4.989159,9.443681,5.588208,5.552679,5.588208,9.443681,6.492857,1.006897,5.549932,0.672464,2.690185
55,2.200,4.793220,3.843734,8.023268,4.169340,6.746875,4.793220,8.023268,4.994845,0.852874,5.620082,0.834496,2.096913
56,2.240,4.440325,2.686674,8.127446,2.965094,8.251339,4.440325,8.251339,2.975416,0.500016,8.880360,1.114223,1.833560
57,2.280,6.325139,4.135907,9.029879,2.760849,10.066518,6.325139,10.066518,5.337430,0.259360,24.387524,1.521774,3.240130
58,2.320,7.542823,6.054733,10.333686,2.790566,9.859821,7.542823,10.333686,6.809675,0.273777,27.551008,1.241913,4.148846
59,2.360,7.139373,6.599947,9.794818,2.052358,7.272321,7.139373,9.794818,7.255155,0.298752,23.897318,1.015209,3.847765
60,2.400,5.172086,4.790852,7.522475,2.578302,9.196428,5.172086,9.196428,6.539453,0.193186,20.688343,0.749871,2.379647
61,2.440,2.235924,2.483871,4.253570,1.016038,4.538393,2.483871,4.538393,2.372819,0.156880,9.935484,0.557405,0.373527
62,2.480,0.980174,1.179535,2.806187,1.299057,6.616964,1.299057,6.616964,1.158019,0.106650,5.196227,0.735835,-0.510658
63,2.520,1.428430,0.993125,3.863564,0.980189,6.662054,1.428430,6.662054,1.482547,0.153415,5.713719,1.081912,-0.414112
64,2.560,2.230175,1.376520,2.897938,0.756604,3.058928,2.230175,3.058928,2.369746,0.215172,8.920698,1.157843,0.184202
65,2.600,4.194092,1.668694,4.258329,0.920755,2.788839,2.788839,4.258329,3.599722,0.251741,11.078229,0.934368,0.601114
66,2.640,4.310468,1.814648,4.432840,0.911321,2.725000,2.725000,4.432840,2.719990,0.261708,10.412378,0.862381,0.553473
67,2.680,5.147700,2.797462,6.282655,1.309434,3.324107,3.324107,6.282655,3.211607,0.429721,7.735504,1.120814,1.000566
68,2.720,6.005155,2.718403,6.630090,1.105189,1.825000,2.718403,6.630090,3.536753,0.360476,7.541144,0.805648,0.548550
69,2.760,5.701427,2.373612,5.671867,1.420755,5.459375,5.459375,5.701427,3.187500,0.322151,16.946630,1.623786,2.594041
70,2.800,10.709952,6.320466,12.559756,2.880189,13.017410,10.709952,13.017410,6.142546,1.562414,6.854748,2.295799,6.512363
71,2.840,10.496630,6.654151,13.128768,3.047642,12.643304,10.496630,13.128768,11.474425,1.547126,6.784597,1.191650,6.353168
72,2.880,4.052934,2.255949,7.331042,1.187736,6.004911,4.052934,7.331042,5.968676,0.675813,5.997125,0.464703,1.544464
73,2.920,2.152062,2.019566,5.885246,1.119811,4.593304,2.152062,5.885246,3.966891,0.510788,4.213218,0.433204,0.125910
74,2.960,1.144925,1.301692,4.944738,1.672170,6.932589,1.672170,6.932589,2.065623,0.968407,1.726722,0.554386,-0.232217
75,3.000,2.599722,1.840032,7.915917,1.689623,7.836607,2.599722,7.915917,1.723585,1.318539,1.971669,1.372172,0.459983
76,3.040,5.257534,2.150185,5.419355,1.609434,5.720982,5.257534,5.720982,2.463521,1.073892,4.895777,2.511297,2.443414
77,3.080,5.200436,2.222105,5.946589,1.528774,5.129018,5.129018,5.946589,6.287946,1.273612,4.027142,1.172150,2.347507
78,3.120,4.694885,1.565838,4.761502,2.395283,7.137947,4.694885,7.137947,3.448214,0.330591,14.201484,0.964422,2.023529
79,3.160,6.711340,4.146219,10.301164,4.417453,13.141071,6.711340,13.141071,5.326527,0.416650,16.107853,1.529695,3.528339
