frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
46,1.840,2.399881,6.359598,4.363564,7.019340,2.412054,4.363564,7.019340,1.555660,0.102463,17.454256,3.168928,2.682600
47,1.880,4.523592,11.337652,6.950027,12.109434,3.750893,6.950027,12.109434,4.809889,0.127865,27.800106,2.183638,5.069031
48,1.920,4.715305,11.985987,7.320994,11.301887,2.596429,7.320994,11.985987,5.527499,0.112742,29.283978,1.416411,5.411309
49,1.960,3.603489,10.478582,7.147541,7.781132,1.668304,7.147541,10.478582,5.104706,0.080870,28.590164,1.344508,5.251270
50,2.000,2.084853,7.100476,4.734797,6.821227,1.093304,4.734797,7.100476,5.448969,0.041576,18.939186,0.897279,3.025122
51,2.040,0.852895,2.591222,1.709413,3.489151,0.926339,1.709413,3.489151,1.895029,0.030361,6.837652,0.465527,0.233715
52,2.080,0.567407,2.019831,1.580116,2.357075,0.895536,1.580116,2.357075,1.882073,0.015484,6.320466,0.836682,0.114418
53,2.120,0.582672,1.865944,1.155473,2.160377,0.662946,1.155473,2.160377,0.850472,0.016782,4.621893,0.845712,-0.277384
54,2.160,0.788065,2.408514,1.759915,3.094811,1.120982,1.759915,3.094811,1.142253,0.014089,7.039661,1.766341,0.280312
55,2.200,0.674663,2.504230,2.064252,1.710377,0.578571,1.710377,2.504230,2.200687,0.005107,6.841509,1.023277,0.234605
56,2.240,0.303925,1.167107,0.767054,2.882547,0.684375,0.767054,2.882547,0.864622,0.006519,3.068218,0.500474,-0.635763
57,2.280,0.131047,1.404812,0.609730,2.876415,0.599554,0.609730,2.876415,1.205976,0.015599,2.438921,0.588941,-0.780921
58,2.320,0.145123,1.713115,0.867002,3.224057,0.614286,0.867002,3.224057,0.960603,0.017225,3.468006,0.800342,-0.543546
59,2.360,0.114988,1.155473,0.809889,3.183962,0.997768,0.997768,3.183962,0.853571,0.009836,3.991071,1.099969,-0.422893
60,2.400,0.101308,0.631941,0.595717,2.327830,0.787500,0.631941,2.327830,0.542306,0.006765,2.527763,0.905439,-0.760428
61,2.440,0.292823,0.891327,0.491010,0.764151,0.312946,0.491010,0.891327,0.567689,0.011445,1.964040,0.884707,-0.890459
62,2.480,0.547383,1.852723,1.193548,2.744340,1.435268,1.435268,2.744340,0.821259,0.004631,5.741071,2.066698,-0.019228
63,2.520,1.374901,4.171867,3.663406,2.400000,1.006696,2.400000,4.171867,1.600740,0.000837,9.600000,1.981834,0.870894
64,2.560,2.532117,6.301163,5.389212,3.889151,1.379018,3.889151,6.301163,2.511792,0.007553,15.556603,1.891365,2.244877
65,2.600,2.992665,7.310946,5.031729,3.396698,1.523661,3.396698,7.310946,3.043396,0.009901,13.586792,1.222892,1.790509
66,2.640,2.227994,5.862242,4.508461,3.730189,1.462500,3.730189,5.862242,4.580910,0.006634,14.920754,0.978499,2.098208
67,2.680,1.329302,2.773136,2.501586,2.830660,0.931250,2.501586,2.830660,2.259915,0.015961,10.006346,0.731370,0.964624
68,2.720,1.825932,5.704654,3.658382,6.309434,1.566518,3.658382,6.309434,1.033929,0.013054,14.633527,2.221345,2.031955
69,2.760,3.538065,9.995505,6.272607,6.737264,2.362500,6.272607,9.995505,3.434426,0.026305,25.090427,2.807569,4.444001
70,2.800,4.272601,12.305658,8.209148,7.103774,2.275000,7.103774,12.305658,5.424379,0.019967,28.415094,1.603777,5.210887
71,2.840,4.202815,11.593601,8.797462,5.611793,1.712500,5.611793,11.593601,5.491509,0.023300,22.447170,1.028188,3.834293
72,2.880,2.495837,6.961132,5.461925,2.958962,0.902232,2.958962,6.961132,3.680189,0.023547,11.835849,0.645238,1.386627
73,2.920,0.968676,2.561608,2.063987,1.821226,0.668304,1.821226,2.561608,1.671698,0.019113,7.284905,0.680592,0.336881
74,2.960,0.249405,0.923850,0.806452,1.163208,0.622768,0.806452,1.163208,0.721875,0.062529,3.225806,0.673847,-0.599413
75,3.000,0.150674,1.108144,0.492597,1.674528,0.482143,0.492597,1.674528,0.587255,0.041872,1.970386,0.752555,-0.888995
76,3.040,0.202617,0.366473,0.472237,1.828774,0.575000,0.472237,1.828774,0.363035,0.013810,1.888948,0.944474,-0.907781
77,3.080,0.214909,0.329984,0.526705,3.013679,0.900893,0.526705,3.013679,0.288207,0.008604,2.106822,1.053411,-0.857524
78,3.120,0.148493,0.320201,0.421999,3.350943,0.947321,0.421999,3.350943,0.689582,0.004795,1.687996,0.843998,-0.954133
79,3.160,0.162966,0.751719,0.662084,5.579717,1.300000,0.751719,5.579717,0.500529,0.004713,3.006875,1.263275,-0.649913
80,3.200,0.496035,1.103913,0.854310,5.502358,1.085714,1.085714,5.502358,1.058699,0.021018,4.342857,1.392631,-0.341748
81,3.240,1.252181,3.263617,2.375727,2.840094,0.898661,2.375727,3.263617,1.175568,0.049984,9.502909,2.126627,0.848498
82,3.280,1.876090,4.741935,3.416975,3.865094,0.912054,3.416975,4.741935,2.828773,0.063744,13.667901,1.706635,1.809218
83,3.320,1.829897,3.707298,2.541512,4.308019,1.220982,2.541512,4.308019,2.997885,0.054105,10.166050,0.872374,1.001462
84,3.360,1.391951,2.429667,1.609730,4.641981,1.607589,1.609730,4.641981,2.720783,0.034910,6.438921,0.562974,0.141742
85,3.400,0.700436,1.455579,1.181650,3.777359,1.189286,1.189286,3.777359,1.859375,0.025222,4.757143,0.519321,-0.246187
86,3.440,0.355274,0.833157,0.694606,1.603302,0.834821,0.833157,1.603302,1.143575,0.027915,3.332628,0.554892,-0.574773
87,3.480,0.212331,0.615812,0.384188,1.011321,0.435714,0.435714,1.011321,0.494183,0.025747,1.742857,0.532086,-0.941479
88,3.520,0.217288,0.599683,0.496827,0.692924,0.192857,0.496827,0.692924,0.483019,0.037553,1.987308,0.993654,-0.885092
89,3.560,0.120539,0.434426,0.239027,1.166038,0.938839,0.434426,1.166038,0.172924,0.030542,1.737705,0.868852,-0.942667
90,3.600,0.135012,0.512163,0.280804,2.072642,0.854911,0.512163,2.072642,0.542306,0.026092,2.048651,1.024326,-0.870942
91,3.640,0.079500,0.264146,0.242464,1.446226,0.657143,0.264146,1.446226,0.249339,0.019327,1.056584,0.528292,-1.099778
92,3.680,0.094964,0.203067,0.186674,2.967925,1.038393,0.203067,2.967925,0.228979,0.012348,0.812269,0.406134,-1.156133
93,3.720,0.141554,0.342411,0.212057,1.430660,0.410714,0.342411,1.430660,0.174775,0.004138,1.369646,0.684823,-1.027566
94,3.760,0.161578,0.546272,0.359863,1.419811,0.609821,0.546272,1.419811,0.370439,0.019146,2.185087,1.092544,-0.839471
95,3.800,0.096947,0.546801,0.291116,4.132547,1.398214,0.546801,4.132547,0.532589,0.016601,2.187202,1.093601,-0.838983
96,3.840,0.168121,0.691698,0.678741,4.444811,1.477679,0.691698,4.444811,0.193020,0.007258,2.766790,1.383395,-0.705292
97,3.880,0.117565,2.938128,2.939186,7.583490,2.339732,2.938128,7.583490,0.874405,0.014713,11.752512,5.505078,1.367404
98,3.920,0.448850,2.897673,2.910365,7.451415,2.770089,2.897673,7.451415,2.553302,0.014450,11.590693,1.690736,1.330078
99,3.960,0.962133,3.235061,2.945796,8.507547,3.005357,3.005357,8.507547,1.260444,0.024548,12.021428,1.576066,1.429434
100,4.000,1.494647,3.968271,3.548651,9.408019,2.354911,3.548651,9.408019,2.829191,0.034220,14.194606,1.735437,1.930711
101,4.040,1.853489,4.684823,3.452406,14.264623,2.835268,3.452406,14.264623,3.042570,0.023218,13.809625,1.175936,1.841909
